,p,Run,Buckets,Density,issues,l_steps,CI2,d,o,n_agents
0,0.05,4,3,0.04767676767676768,4,1500,True,0.55,0.1,100
64,0.3,4,2,0.3094949494949495,4,1500,True,0.55,0.1,100
63,0.35000000000000003,4,2,0.3490909090909091,4,1500,True,0.55,0.1,100
62,0.35000000000000003,4,2,0.3509090909090909,4,1500,True,0.55,0.1,100
61,0.35000000000000003,4,3,0.35353535353535354,4,1500,True,0.55,0.1,100
60,0.35000000000000003,4,2,0.35454545454545455,4,1500,True,0.55,0.1,100
59,0.35000000000000003,4,2,0.34424242424242424,4,1500,True,0.55,0.1,100
58,0.3,4,2,0.2997979797979798,4,1500,True,0.55,0.1,100
57,0.3,4,2,0.3012121212121212,4,1500,True,0.55,0.1,100
65,0.35000000000000003,4,2,0.34585858585858587,4,1500,True,0.55,0.1,100
56,0.3,4,2,0.30808080808080807,4,1500,True,0.55,0.1,100
54,0.3,4,2,0.2901010101010101,4,1500,True,0.55,0.1,100
53,0.3,4,3,0.3105050505050505,4,1500,True,0.55,0.1,100
52,0.3,4,2,0.2872727272727273,4,1500,True,0.55,0.1,100
51,0.3,4,2,0.2963636363636364,4,1500,True,0.55,0.1,100
50,0.3,4,3,0.30282828282828284,4,1500,True,0.55,0.1,100
49,0.25,4,2,0.25676767676767676,4,1500,True,0.55,0.1,100
48,0.25,4,2,0.2515151515151515,4,1500,True,0.55,0.1,100
47,0.25,4,2,0.2381818181818182,4,1500,True,0.55,0.1,100
55,0.3,4,2,0.29878787878787877,4,1500,True,0.55,0.1,100
66,0.35000000000000003,4,2,0.3464646464646465,4,1500,True,0.55,0.1,100
67,0.4,4,2,0.4092929292929293,4,1500,True,0.55,0.1,100
68,0.35000000000000003,4,2,0.361010101010101,4,1500,True,0.55,0.1,100
87,0.45,4,2,0.4541414141414141,4,1500,True,0.55,0.1,100
86,0.45,4,2,0.4595959595959596,4,1500,True,0.55,0.1,100
85,0.45,4,2,0.4492929292929293,4,1500,True,0.55,0.1,100
84,0.45,4,2,0.45616161616161616,4,1500,True,0.55,0.1,100
83,0.45,4,2,0.45616161616161616,4,1500,True,0.55,0.1,100
82,0.45,4,2,0.4448484848484848,4,1500,True,0.55,0.1,100
81,0.4,4,2,0.4090909090909091,4,1500,True,0.55,0.1,100
80,0.45,4,2,0.4614141414141414,4,1500,True,0.55,0.1,100
79,0.4,4,2,0.4115151515151515,4,1500,True,0.55,0.1,100
78,0.45,4,2,0.45535353535353534,4,1500,True,0.55,0.1,100
77,0.4,4,2,0.4034343434343434,4,1500,True,0.55,0.1,100
76,0.4,4,2,0.4098989898989899,4,1500,True,0.55,0.1,100
75,0.4,4,2,0.4,4,1500,True,0.55,0.1,100
74,0.4,4,2,0.38606060606060605,4,1500,True,0.55,0.1,100
73,0.4,4,2,0.3937373737373737,4,1500,True,0.55,0.1,100
72,0.35000000000000003,4,2,0.3426262626262626,4,1500,True,0.55,0.1,100
71,0.35000000000000003,4,2,0.3496969696969697,4,1500,True,0.55,0.1,100
70,0.4,4,2,0.4002020202020202,4,1500,True,0.55,0.1,100
69,0.4,4,3,0.402020202020202,4,1500,True,0.55,0.1,100
46,0.25,4,3,0.238989898989899,4,1500,True,0.55,0.1,100
45,0.25,4,2,0.25414141414141417,4,1500,True,0.55,0.1,100
44,0.25,4,2,0.2408080808080808,4,1500,True,0.55,0.1,100
43,0.25,4,2,0.26585858585858585,4,1500,True,0.55,0.1,100
19,0.1,4,2,0.09858585858585858,4,1500,True,0.55,0.1,100
18,0.1,4,2,0.09919191919191919,4,1500,True,0.55,0.1,100
17,0.1,4,2,0.10363636363636364,4,1500,True,0.55,0.1,100
16,0.05,4,2,0.04909090909090909,4,1500,True,0.55,0.1,100
15,0.1,4,2,0.10707070707070707,4,1500,True,0.55,0.1,100
14,0.1,4,2,0.09575757575757576,4,1500,True,0.55,0.1,100
13,0.1,4,2,0.10020202020202021,4,1500,True,0.55,0.1,100
12,0.1,4,2,0.09393939393939393,4,1500,True,0.55,0.1,100
11,0.05,4,3,0.04707070707070707,4,1500,True,0.55,0.1,100
10,0.1,4,3,0.10505050505050505,4,1500,True,0.55,0.1,100
9,0.05,4,4,0.051515151515151514,4,1500,True,0.55,0.1,100
8,0.1,4,2,0.10505050505050505,4,1500,True,0.55,0.1,100
7,0.1,4,2,0.10424242424242425,4,1500,True,0.55,0.1,100
6,0.05,4,2,0.053737373737373736,4,1500,True,0.55,0.1,100
5,0.05,4,2,0.05171717171717172,4,1500,True,0.55,0.1,100
4,0.05,4,4,0.045454545454545456,4,1500,True,0.55,0.1,100
3,0.05,4,2,0.05272727272727273,4,1500,True,0.55,0.1,100
2,0.05,4,2,0.04909090909090909,4,1500,True,0.55,0.1,100
1,0.05,4,2,0.05353535353535353,4,1500,True,0.55,0.1,100
20,0.15000000000000002,4,2,0.14646464646464646,4,1500,True,0.55,0.1,100
88,0.45,4,2,0.44565656565656564,4,1500,True,0.55,0.1,100
21,0.15000000000000002,4,2,0.1404040404040404,4,1500,True,0.55,0.1,100
23,0.15000000000000002,4,2,0.14,4,1500,True,0.55,0.1,100
42,0.25,4,2,0.24444444444444444,4,1500,True,0.55,0.1,100
41,0.25,4,2,0.2496969696969697,4,1500,True,0.55,0.1,100
40,0.25,4,3,0.24868686868686868,4,1500,True,0.55,0.1,100
39,0.2,4,2,0.1991919191919192,4,1500,True,0.55,0.1,100
38,0.2,4,2,0.2018181818181818,4,1500,True,0.55,0.1,100
37,0.2,4,2,0.20525252525252524,4,1500,True,0.55,0.1,100
36,0.2,4,2,0.20303030303030303,4,1500,True,0.55,0.1,100
35,0.2,4,3,0.19373737373737374,4,1500,True,0.55,0.1,100
34,0.2,4,3,0.19353535353535353,4,1500,True,0.55,0.1,100
33,0.2,4,3,0.2016161616161616,4,1500,True,0.55,0.1,100
32,0.15000000000000002,4,2,0.1480808080808081,4,1500,True,0.55,0.1,100
31,0.2,4,2,0.19838383838383838,4,1500,True,0.55,0.1,100
30,0.2,4,2,0.20323232323232324,4,1500,True,0.55,0.1,100
29,0.2,4,2,0.1905050505050505,4,1500,True,0.55,0.1,100
28,0.15000000000000002,4,3,0.1507070707070707,4,1500,True,0.55,0.1,100
27,0.15000000000000002,4,2,0.14303030303030304,4,1500,True,0.55,0.1,100
26,0.15000000000000002,4,2,0.1505050505050505,4,1500,True,0.55,0.1,100
25,0.15000000000000002,4,3,0.1484848484848485,4,1500,True,0.55,0.1,100
24,0.15000000000000002,4,2,0.15151515151515152,4,1500,True,0.55,0.1,100
22,0.15000000000000002,4,2,0.1498989898989899,4,1500,True,0.55,0.1,100
89,0.45,4,2,0.4628282828282828,4,1500,True,0.55,0.1,100
